V1 V2 V3 V4 V5 V6 V7 V8
1 24537450 1 44 130 131 1 1
1 24405919 1 43 119 120 1 1
1 21308330 1 41 119 103 1 1
1 20277328 1 39 102 99 1 1
1 20786119 1 40 102 99 1 1
1 19535251 1 37 91 83 1 1
1 18172408 1 35 91 83 1 1
1 16711566 1 34 82 80 1 1
1 16268244 1 33 75 76 1 1
1 12561608 1 26 75 68 1 1
1 12683989 1 27 75 68 1 1
1 13094543 1 29 75 68 1 1
1 15586999 1 32 75 60 1 1
1 13722156 1 31 73 60 1 1
1 13442061 1 30 75 60 1 1
1 11381725 1 25 59 57 1 1
1 10549036 1 24 59 57 1 1
1 8471166 1 16 49 50 1 1
1 8702631 1 18 49 48 1 1
1 8749798 1 19 47 46 1 1
1 9211022 1 21 49 40 1 1
1 9482245 1 22 49 46 1 1
1 9515780 1 23 47 46 1 1
1 8318375 1 15 39 40 1 1
1 7814239 1 14 39 35 1 1
1 8527878 1 17 39 24 1 1
1 5338585 1 11 38 30 1 1
1 2587164 1 3 29 26 1 1
1 6815728 1 13 25 24 1 1
1 5895070 1 12 25 23 1 1
1 4077635 1 9 22 20 1 1
1 3788318 1 8 19 19 1 1
1 2635389 1 4 18 1 1 1
1 2808861 1 5 18 1 1 1
1 2448946 1 2 18 19 1 1
1 5241999 1 10 8 5 1 1
1 3157052 1 6 4 1 1 1
1 2189822 1 1 0 0 1 1
2 32231976 2 155 194 197 1 2
2 30767170 2 152 193 196 1 2
2 30437397 2 151 193 191 1 2
2 30153896 2 150 193 191 1 2
2 29440881 2 148 186 189 1 2
2 29118522 2 147 186 187 1 2
2 28969975 2 146 186 187 1 2
2 28508304 2 144 181 177 1 2
2 27199320 2 141 181 173 1 2
2 27439534 2 143 181 173 1 2
2 26833908 2 140 181 173 1 2
2 26560799 2 139 170 170 1 2
2 27283656 2 142 167 164 1 2
2 25811180 2 137 161 159 1 2
2 25307637 2 136 156 156 1 2
2 23603578 2 133 153 149 1 2
2 24034993 2 134 153 149 1 2
2 22566152 2 127 146 143 1 2
2 22943110 2 130 140 140 1 2
2 22957016 2 131 137 136 1 2
2 22656230 2 128 137 133 1 2
2 21667687 2 125 135 133 1 2
2 21837492 2 126 137 133 1 2
2 22893229 2 129 129 132 1 2
2 19676760 2 120 129 125 1 2
2 21209453 2 124 122 123 1 2
2 20904384 2 123 122 119 1 2
2 20637640 2 122 116 117 1 2
2 19864656 2 121 114 100 1 2
2 17312219 2 117 97 92 1 2
2 16417247 2 116 89 84 1 2
2 18251997 2 118 89 89 1 2
2 16344985 2 115 89 84 1 2
2 16224666 2 114 81 83 1 2
2 15867095 2 112 81 83 1 2
2 15562913 2 111 80 83 1 2
2 14040608 2 107 80 77 1 2
2 14610355 2 109 80 77 1 2
2 15049160 2 110 80 77 1 2
2 10239253 2 95 71 74 1 2
2 11652259 2 99 71 71 1 2
2 13080154 2 105 71 68 1 2
2 13222796 2 106 69 71 1 2
2 13021861 2 104 67 70 1 2
2 12692544 2 103 67 66 1 2
2 12383287 2 102 67 66 1 2
2 12250691 2 101 65 68 1 2
2 11640974 2 98 65 66 1 2
2 14431486 2 108 63 58 1 2
2 11039204 2 97 63 58 1 2
2 11967746 2 100 55 57 1 2
2 10340955 2 96 54 54 1 2
2 10110008 2 93 51 52 1 2
2 10023664 2 92 49 50 1 2
2 9961536 2 91 47 49 1 2
2 9725954 2 90 46 46 1 2
2 9287797 2 89 46 46 1 2
2 9147686 2 88 43 41 1 2
2 8677155 2 87 38 40 1 2
2 7652371 2 85 37 33 1 2
2 7774016 2 86 37 33 1 2
2 5828950 2 81 30 27 1 2
2 5740494 2 80 24 22 1 2
2 6284067 2 83 30 22 1 2
2 6644947 2 84 30 22 1 2
2 4951810 2 79 17 20 1 2
2 4373794 2 77 17 16 1 2
2 6080732 2 82 20 18 1 2
2 3968118 2 75 15 16 1 2
2 4425089 2 78 15 16 1 2
2 3337790 2 74 8 11 1 2
2 3007012 2 73 8 8 1 2
2 2578921 2 71 5 6 1 2
2 914663 2 60 5 3 1 2
2 1448951 2 62 3 4 1 2
2 2273190 2 68 5 0 1 2
2 2819152 2 72 1 3 1 2
2 1575127 2 64 1 3 1 2
2 2084982 2 66 3 3 1 2
2 529414 2 58 0 0 1 2
11 21494320 3 737 174 176 4 11
11 18931725 3 731 174 170 4 11
11 21333984 3 736 168 169 4 11
11 20513652 3 734 168 169 4 11
11 22266843 3 738 168 169 4 11
11 18159486 3 730 166 168 4 11
11 21316269 3 735 166 161 4 11
11 19634995 3 732 159 156 4 11
11 17935191 3 729 154 150 4 11
11 17447281 3 728 148 145 4 11
11 17198698 3 727 143 140 4 11
