scaffold position
4 24197063
4 24671608
4 24759169
4 24916092
4 25350983
4 25805330
4 26087036
5 13282798
5 13819924
5 14226024
5 14622319
5 14924667
5 15141288
5 15164942
5 15178225
5 15486161
5 16230307
5 17025036
5 17062124
5 17471260
5 17540708
7 1574097
7 1702613
7 19310862
7 20237788
7 21448309
7 22152835
7 22271930
7 22792601
7 23172316
7 2362548
7 23793373
7 3519886
7 462087
8 1006801
8 1424749
8 1453067
8 2009558
8 2191926
8 2862726
9 15530571
9 16027313
9 16167697
9 16367599
10 1533917
10 1922308
10 2168789
10 2213932
10 2437306
10 2529580
10 3448558
10 351620
10 412042
10 422471
10 5736785
10 972365
11 1982232
11 2165992
11 2207451
11 2225077
11 2495347
11 2844808
11 3131037
11 445841
11 537139
11 661689
11 971740
12 4659930
12 4925619
13 17258511
13 17974595
13 19455356
13 19662547
13 20524013
13 20685094
15 5369813
15 5968965
15 7256847
15 7644824
15 9247172
16 1356244
16 1493653
16 1755820
16 1989578
16 2095518
16 3018522
16 3423755
16 4807951
16 4941835
16 5404864
16 590786
16 960713
17 10862665
17 11324804
17 11379014
17 11650332
17 15678762
17 15810281
17 16891711
17 17329754
17 17400288
17 17535364
17 17777732
17 17975395
17 9564206
17 9770484
17 9872286
18 14277349
18 15370219
18 15424140
18 15720546
18 16749787
18 16877329
18 17430853
18 17486774
18 17882412
18 4219775
18 4271606
18 4906807
20 1352781
20 728543
22 5321497
22 5681109
22 6807455
23 14395999
23 441043
23 6641448
23 7472283
23 7756936
24 10210163
24 10221532
24 10419887
24 10520737
24 10531118
24 10949329
24 10975320
24 11109423
24 11234994
24 11564871
24 1186751
24 12645048
24 1690579
24 2019076
24 2402873
24 2883251
24 3464625
24 4068624
24 5146302
24 624290
24 974276
25 3348416
25 3370679
25 3824675
25 4072753
25 8557994
25 8951976
25 8996825
25 9413495
25 9678752
