V1 V2 V3 V4 V5 V6 V7 V8
1 32179853 1 80 221 225 1 1
1 32707210 1 82 221 227 1 1
1 31619494 1 79 218 221 1 1
1 32692290 1 81 218 224 1 1
1 29867842 1 78 215 216 1 1
1 29285705 1 76 210 215 1 1
1 29750167 1 77 210 215 1 1
1 28789178 1 73 201 196 1 1
1 28814791 1 74 201 196 1 1
1 28915518 1 75 201 196 1 1
1 28139617 1 71 190 191 1 1
1 28208575 1 72 190 191 1 1
1 27746703 1 70 185 184 1 1
1 27608308 1 69 182 184 1 1
1 26399444 1 68 178 177 1 1
1 24928100 1 66 171 163 1 1
1 25100574 1 67 171 163 1 1
1 24107239 1 63 157 157 1 1
1 24493191 1 64 157 157 1 1
1 24540913 1 65 151 152 1 1
1 21028647 1 60 146 140 1 1
1 21644230 1 61 134 139 1 1
1 20781587 1 58 133 132 1 1
1 20802551 1 59 133 137 1 1
1 19320697 1 54 129 135 1 1
1 20006942 1 56 129 132 1 1
1 22053918 1 62 129 132 1 1
1 19248337 1 53 126 129 1 1
1 20624000 1 57 126 122 1 1
1 17642404 1 51 123 126 1 1
1 17919483 1 52 120 125 1 1
1 19519892 1 55 119 122 1 1
1 17483747 1 49 116 121 1 1
1 16460677 1 47 115 115 1 1
1 16786147 1 48 115 119 1 1
1 16012085 1 46 113 112 1 1
1 15316434 1 43 107 110 1 1
1 15371083 1 44 107 110 1 1
1 15765440 1 45 107 112 1 1
1 13461266 1 40 104 98 1 1
1 14278794 1 41 104 103 1 1
1 14508534 1 42 104 103 1 1
1 12454768 1 38 97 98 1 1
1 12546603 1 39 97 98 1 1
1 11560579 1 36 92 93 1 1
1 11227247 1 35 87 89 1 1
1 12063813 1 37 83 85 1 1
1 10711888 1 34 79 84 1 1
1 10281934 1 33 78 79 1 1
1 10017917 1 32 73 77 1 1
1 9145964 1 30 71 72 1 1
1 9341343 1 31 71 71 1 1
1 9094408 1 29 66 66 1 1
1 8628409 1 26 60 63 1 1
1 8969480 1 28 60 66 1 1
1 8359803 1 23 57 54 1 1
1 8382713 1 24 57 61 1 1
1 8411725 1 25 57 61 1 1
1 7536599 1 19 50 48 1 1
1 7708666 1 20 50 56 1 1
1 7908491 1 22 50 54 1 1
1 7765061 1 21 49 47 1 1
1 7306065 1 18 48 41 1 1
1 8813966 1 27 42 41 1 1
1 6790992 1 16 35 38 1 1
1 7058547 1 17 35 38 1 1
1 6323136 1 13 28 32 1 1
1 6359262 1 14 28 24 1 1
1 6719654 1 15 28 29 1 1
1 4838850 1 12 26 29 1 1
1 4529872 1 11 23 24 1 1
1 3580596 1 9 18 14 1 1
1 3702067 1 10 18 18 1 1
1 3079565 1 8 13 14 1 1
1 1669721 1 4 8 6 1 1
1 1769821 1 6 8 12 1 1
1 2123270 1 7 8 6 1 1
1 1725886 1 5 6 6 1 1
1 1490116 1 3 0 0 1 1
1 857604 1 1 0 6 1 1
1 960108 1 2 0 0 1 1
2 32213163 2 191 218 222 1 2
2 32469265 2 193 218 222 1 2
2 30598075 2 183 209 212 1 2
2 31267355 2 186 209 212 1 2
2 32364635 2 192 209 212 1 2
2 32533813 2 194 209 213 1 2
